product_url,ASIN_from_page_url,brand_name_long,seller_name,seller_url,seller_id_from_seller_url,seller_address,country_from_seller_address
https://www.amazon.com/Icon-Sports-Barcelona-Jacket-FCB52TJ-N/dp/B08NVFJZHS/ref=sr_1_10795?dchild=1&amp;qid=1622508797&amp;s=apparel&amp;sr=1-10795,B08NVFJZHS,Brand: Icon Sports,Amazon.com,,,,
https://www.amazon.com/Fajitex-Compression-Colombianas-Shapewear-Liposuction/dp/B074QV5DR9/ref=sr_1_6958?dchild=1&amp;qid=1622508687&amp;s=apparel&amp;sr=1-6958,B074QV5DR9,Visit the Fajitex Store,Amazon.com,,,,
https://www.amazon.com/Casual-Classic-Fit-Cotton-Multiple-Pockets/dp/B083W8LKGL/ref=sr_1_8090?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8090,B083W8LKGL,Visit the Alfiudad Store,Amazon.com,,,,
https://www.amazon.com/YININF-Mens-Hipster-Hip-Hop-Premiun/dp/B07CKBZQFS/ref=sr_1_9829?dchild=1&amp;qid=1622508768&amp;s=apparel&amp;sr=1-9829,B07CKBZQFS,Visit the YININF Store,Amazon.com,,,,
https://www.amazon.com/AIMPACT-Running-Sports-Fitness-Exercise/dp/B08628XLGS/ref=sr_1_12339?dchild=1&amp;qid=1622508872&amp;s=apparel&amp;sr=1-12339,B08628XLGS,Visit the AIMPACT Store,Amazon.com,,,,
https://www.amazon.com/Outfits-Fashion-Jogging-Sweatsuit-XX-Large/dp/B092D9KJXG/ref=sr_1_10998?dchild=1&amp;qid=1622508802&amp;s=apparel&amp;sr=1-10998,B092D9KJXG,Brand: Passec,Amazon.com,,,,
https://www.amazon.com/COLORFULLEAF-Cotton-Pajamas-Button-Sleepwear/dp/B083R3P3M3/ref=sr_1_6963?dchild=1&amp;qid=1622508687&amp;s=apparel&amp;sr=1-6963,B083R3P3M3,Visit the COLORFULLEAF Store,Amazon.com,,,,
https://www.amazon.com/Moisture-Control-Athletic-Quarter-Cushion/dp/B08N53RP7G/ref=sr_1_9834?dchild=1&amp;qid=1622508768&amp;s=apparel&amp;sr=1-9834,B08N53RP7G,Brand: FORMEU,FORMEU-USA,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A183EQSPZ1ZR6U&isAmazonFulfilled=1,A183EQSPZ1ZR6U,"Business Address:SILVER CREEK, GA 30173-3052SILVER CREEKGA30173-3052US",US
https://www.amazon.com/AOTORR-Tracksuit-Athletic-Jogging-Sweatsuit/dp/B07YG3YK6V/ref=sr_1_8104?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8104,B07YG3YK6V,Visit the AOTORR Store,Amazon.com,,,,
https://www.amazon.com/Cotton-Pajamas-Short-Sleeve-Sleep/dp/B0935N3H3R/ref=sr_1_12343?dchild=1&amp;qid=1622508872&amp;s=apparel&amp;sr=1-12343,B0935N3H3R,Visit the TruFit Store,Amazon.com,,,,
https://www.amazon.com/Pairs-Socks-Winter-Thick-Casual/dp/B07WH4ZW7Q/ref=sr_1_11006?dchild=1&amp;qid=1622508802&amp;s=apparel&amp;sr=1-11006,B07WH4ZW7Q,Visit the Loritta Store,US-YJM,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A26CDS3FMH3W2J&isAmazonFulfilled=1,A26CDS3FMH3W2J,Business Address:zeng gang cun 8 zu 5 haoxue ji zhenlao he kou shihu bei sheng441808CN,CN
https://www.amazon.com/AOWOFS-Leather-Jacket-Double-Motorcycle/dp/B076D18KR5/ref=sr_1_7686?dchild=1&amp;qid=1622508693&amp;s=apparel&amp;sr=1-7686,B076D18KR5,Visit the AOWOFS Store,Amazon.com,,,,
https://www.amazon.com/Immerguter-Adjustable-Elastic-Workout-HC-ZZ-Khaki/dp/B08VJ6S362/ref=sr_1_8107?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8107,B08VJ6S362,Brand: Immerguter,Amazon.com,,,,
https://www.amazon.com/Foot-Traffic-Education-Themed-Socks-Genius/dp/B00HEVVSZO/ref=sr_1_13488?dchild=1&amp;qid=1622508887&amp;s=apparel&amp;sr=1-13488,B00HEVVSZO,Visit the Foot Traffic Store,Foot Traffic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A11OUODMLBP0EF&isAmazonFulfilled=1,A11OUODMLBP0EF,Business Address:2000 Baltimore AveSuite 400Kansas CityMO64108US,US
https://www.amazon.com/Bodtek-Thermal-Underwear-Fleece-Bottom/dp/B07YBK5SF7/ref=sr_1_8111?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8111,B07YBK5SF7,Visit the Bodtek Store,Amazon.com,,,,
https://www.amazon.com/Convertible-Lightweight-Trousers-6055-Light-Apricot-29-34/dp/B08L5V32PS/ref=sr_1_7691?dchild=1&amp;qid=1622508693&amp;s=apparel&amp;sr=1-7691,B08L5V32PS,Brand: Asfixiado,Amazon.com,,,,
https://www.amazon.com/CUADRA-Jacket-Genuine-Leather-Brown/dp/B08GQVXCYK/ref=sr_1_9838?dchild=1&amp;qid=1622508768&amp;s=apparel&amp;sr=1-9838,B08GQVXCYK,Visit the CUADRA Store,Amazon.com,,,,
https://www.amazon.com/Jack-Martin-Herringbone-Wedding-Business/dp/B08K83PDLY/ref=sr_1_11046?dchild=1&amp;qid=1622508804&amp;s=apparel&amp;sr=1-11046,B08K83PDLY,Brand: Jack Martin London,Amazon.com,,,,
https://www.amazon.com/Tripp-Classic-Bondage-Pants-Plaid/dp/B08LP5CWDX/ref=sr_1_8115?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8115,B08LP5CWDX,Brand: Tripp NYC,Amazon.com,,,,
https://www.amazon.com/TOP-PRO-Sleeve-Baseball-LGR/dp/B0767MLL52/ref=sr_1_7693?dchild=1&amp;qid=1622508693&amp;s=apparel&amp;sr=1-7693,B0767MLL52,Brand: TOP PRO,Amazon.com,,,,
https://www.amazon.com/Genuine-Shorts-Running-Exercise-Medium/dp/B07VXBW257/ref=sr_1_13250?dchild=1&amp;qid=1622508890&amp;s=apparel&amp;sr=1-13250,B07VXBW257,Brand: Genuine Issue,Amazon.com,,,,
https://www.amazon.com/LANYI-Running-Sports-Athletic-Deodorization/dp/B07TFT7SVJ/ref=sr_1_10100?dchild=1&amp;qid=1622508770&amp;s=apparel&amp;sr=1-10100,B07TFT7SVJ,Brand: Lanyi,Amazon.com,,,,
https://www.amazon.com/XING-YE-CHUAN-Bathrobe-Lightweight/dp/B08CRH82BR/ref=sr_1_11048?dchild=1&amp;qid=1622508804&amp;s=apparel&amp;sr=1-11048,B08CRH82BR,Visit the XING YE CHUAN Store,Amazon.com,,,,
https://www.amazon.com/Athletic-Cushioned-Compression-Moisture-Wicking-Breathable/dp/B08RYSD643/ref=sr_1_13252?dchild=1&amp;qid=1622508890&amp;s=apparel&amp;sr=1-13252,B08RYSD643,Visit the PEARL CARE Store,Pearl Care,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3DMKWA5W2RD8Y,,Business Address:中山西路750号2607室上海长宁200051CN,CN
https://www.amazon.com/Layer-Purpose-Lightweight-Breathable-Midnight-Pant/dp/B083STGSH8/ref=sr_1_7694?dchild=1&amp;qid=1622508693&amp;s=apparel&amp;sr=1-7694,B083STGSH8,Visit the Layer 8 Store,Amazon.com,,,,
https://www.amazon.com/Buy-Cool-Shirts-Snag-Proof-XXXX-Large/dp/B08DDDMGTX/ref=sr_1_8120?dchild=1&amp;qid=1622508716&amp;s=apparel&amp;sr=1-8120,B08DDDMGTX,Visit the Buy Cool Shirts Store,Amazon.com,,,,
https://www.amazon.com/Sleeve-Tracksuit-Fashion-Outfits-Blue-XL/dp/B092ZNDY2Z/ref=sr_1_10103?dchild=1&amp;qid=1622508770&amp;s=apparel&amp;sr=1-10103,B092ZNDY2Z,Visit the MANLUODANNI Store,Amazon.com,,,,
https://www.amazon.com/GEMYSE-Mountain-Waterproof-Windproof-Black-1/dp/B08F5BPCY2/ref=sr_1_11052?dchild=1&amp;qid=1622508804&amp;s=apparel&amp;sr=1-11052,B08F5BPCY2,Visit the GEMYSE Store,Amazon.com,,,,
https://www.amazon.com/Elina-fashion-Mens-Indian-Waistcoat-Wedding/dp/B08HHLTNT5/ref=sr_1_8406?dchild=1&amp;qid=1622508717&amp;s=apparel&amp;sr=1-8406,B08HHLTNT5,Visit the Elina fashion Store,Amazon.com,,,,
https://www.amazon.com/Aibrou-Sleeves-Shorts-Cotton-Sleepwear/dp/B07QRPPL5Z/ref=sr_1_7702?dchild=1&amp;qid=1622508693&amp;s=apparel&amp;sr=1-7702,B07QRPPL5Z,Visit the Aibrou Store,Amazon.com,,,,
https://www.amazon.com/Santa-Cruz-T-Shirt-Decal-Bundle/dp/B08L9Q26CB/ref=sr_1_10111?dchild=1&amp;qid=1622508770&amp;s=apparel&amp;sr=1-10111,B08L9Q26CB,Brand: Slugwear,Amazon.com,,,,
https://www.amazon.com/Jack-Wolfskin-Troposphere-Jacket-Lacquer/dp/B087DJM5BW/ref=sr_1_11053?dchild=1&amp;qid=1622508804&amp;s=apparel&amp;sr=1-11053,B087DJM5BW,Visit the Jack Wolfskin Store,Amazon.com,,,,
https://www.amazon.com/Tourmaster-Synergy-Pro-Plus-Heated-Medium/dp/B07YVJLJYP/ref=sr_1_13259?dchild=1&amp;qid=1622508890&amp;s=apparel&amp;sr=1-13259,B07YVJLJYP,Visit the Tour Master Store,Amazon.com,,,,
