ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B0010DHFTK,B0010DHFTK,Makita,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Angle Grinders",https://www.amazon.com/Makita-9557PBX1-2-Inch-Grinder-Aluminum/dp/B0010DHFTK/ref=sr_1_197?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-197,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AMakita,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMakita,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AMakita><div>Makita</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AMakita><div>Makita</div></a>"
B07X3KG9M5,B07X3KG9M5,KeLDE,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Nailers & Staplers,Staplers,Upholstery Staplers",https://www.amazon.com/Electric-Staple-KeLDE-Stapler-Staples/dp/B07X3KG9M5/ref=sr_1_202?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-202,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AKeLDE,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AKeLDE,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AKeLDE><div>KeLDE</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AKeLDE><div>KeLDE</div></a>"
B000BR2ERO,B000BR2ERO,STANLEY,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Nailers & Staplers,Nailers,Brad Nailers",https://www.amazon.com/Stanley-TR250-SharpShooter-Heavy-Duty-Staple/dp/B000BR2ERO/ref=sr_1_204?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-204,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ASTANLEY,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ASTANLEY,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ASTANLEY><div>STANLEY</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ASTANLEY><div>STANLEY</div></a>"
B08512HJ14,B08512HJ14,RYOBI,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Impact Drivers",https://www.amazon.com/Ryobi-P235A-Impact-Driver-Bare/dp/B08512HJ14/ref=sr_1_205?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-205,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ARYOBI,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ARYOBI,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ARYOBI><div>RYOBI</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ARYOBI><div>RYOBI</div></a>"
B07G2ZRTW7,B07G2ZRTW7,NEU MASTER,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Nailers & Staplers,Nailers,Brad Nailers",https://www.amazon.com/Electric-N6013-Adjustable-Upholstery-Improvement/dp/B07G2ZRTW7/ref=sr_1_209?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-209,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ANEU+MASTER,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ANEU+MASTER,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ANEU+MASTER><div>NEU MASTER</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ANEU+MASTER><div>NEU MASTER</div></a>"
B07GXKHHYG,B07GXKHHYG,GALAX PRO,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Demolition Drills & Hammers,Hammer Drills",https://www.amazon.com/GALAX-PRO-0-3000RPM-Electric-Concrete_GP57325/dp/B07GXKHHYG/ref=sr_1_215?dchild=1&amp;qid=1621551047&amp;s=power-hand-tools&amp;sr=1-215,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AGALAX+PRO,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AGALAX+PRO,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AGALAX+PRO><div>GALAX PRO</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AGALAX+PRO><div>GALAX PRO</div></a>"
B01N6U1M8Y,B01N6U1M8Y,Edward Tools,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Concrete Tools,Concrete Mixers",https://www.amazon.com/Edward-Tools-Paint-gallon-buckets/dp/B01N6U1M8Y/ref=sr_1_30?dchild=1&amp;qid=1621551048&amp;s=power-hand-tools&amp;sr=1-30,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AEdward+Tools,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AEdward+Tools,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AEdward+Tools><div>Edward Tools</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AEdward+Tools><div>Edward Tools</div></a>"
B0023EY052,B0023EY052,Vacmaster,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Wet-Dry Vacuums",https://www.amazon.com/Vacmaster-Gallon-Vacuum-Detachable-VBV1210/dp/B0023EY052/ref=sr_1_34?dchild=1&amp;qid=1621551048&amp;s=power-hand-tools&amp;sr=1-34,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AVacmaster,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVacmaster,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AVacmaster><div>Vacmaster</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AVacmaster><div>Vacmaster</div></a>"
B07SFTZ5YT,B07SFTZ5YT,KeShi,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Rotary Tools",https://www.amazon.com/KeShi-Cordless-Accessory-Swap-able-Multi-Purpose/dp/B07SFTZ5YT/ref=sr_1_38?dchild=1&amp;qid=1621551048&amp;s=power-hand-tools&amp;sr=1-38,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AKeShi,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AKeShi,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3AKeShi><div>KeShi</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3AKeShi><div>KeShi</div></a>"
B08HZFVNS7,B08HZFVNS7,Bissell,,"Tools & Home Improvement,Power & Hand Tools,Power Tools,Wet-Dry Vacuums",https://www.amazon.com/Bissell-SpinWave-Hard-Floor-20399/dp/B08HZFVNS7/ref=sr_1_41?dchild=1&amp;qid=1621551048&amp;s=power-hand-tools&amp;sr=1-41,0,https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ABissell,https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABissell,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A551236%2Cp_89%3ABissell><div>Bissell</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A0%2Cp_89%3ABissell><div>Bissell</div></a>"
