ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B004B8F8MM,B004B8F8MM,Gillette,Gillette Fusion Power Men's Razor Blades - 8 Refills,"Beauty & Personal Care,Shave & Hair Removal,Men's,Razors & Blades,Cartridges & Refills",https://www.amazon.com/Gillette-Fusion5-Razor-Blades-Refills/dp/B004B8F8MM/ref=sr_1_29?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-29,43,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGillette,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AGillette,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGillette><div>Gillette</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AGillette><div>Gillette</div></a>"
B014HNOXZS,B014HNOXZS,Tinkle,"Dorco Tinkle Eyebrow Razor, Hair Trimmer Shaver and Tough Up Tool, Facial Razor with Safety Cover, 6 Razors","Beauty & Personal Care,Shave & Hair Removal,Women's,Razors & Blades,Disposable Razors",https://www.amazon.com/Tinkle-Eyebrow-Razor-Pack-6/dp/B014HNOXZS/ref=sr_1_30?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-30,50,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ATinkle,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ATinkle,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ATinkle><div>Tinkle</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ATinkle><div>Tinkle</div></a>"
B00VPVEVSK,B00VPVEVSK,Profoot,"Colossal foot rasp foot file and Callus remover. Best Foot care pedicure metal surface tool to remove hard skin. Can be Used on both wet and dry feet, Surgical grade stainless steel file","Beauty & Personal Care,Foot, Hand & Nail Care,Tools & Accessories,Foot Files",https://www.amazon.com/Colossal-Remover-Pedicure-Surgical-Stainless/dp/B00VPVEVSK/ref=sr_1_31?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-31,39,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AProfoot,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AProfoot,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AProfoot><div>Profoot</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AProfoot><div>Profoot</div></a>"
B075QNC39Q,B075QNC39Q,AVARELLE,"Avarelle Acne Pimple Patch (40 Count) Absorbing Hydrocolloid Spot Treatment with Tea Tree Oil, Calendula Oil and Cica, Certified Vegan, Cruelty Free","Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Pore Cleansing Strips",https://www.amazon.com/Avarelle-Cover-Patch-Hydrocolloid-Calendula/dp/B075QNC39Q/ref=sr_1_32?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-32,46,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAVARELLE,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AAVARELLE,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAVARELLE><div>AVARELLE</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AAVARELLE><div>AVARELLE</div></a>"
B07GPP3XC1,B07GPP3XC1,SC Johnson,"623181 Q-Tip Cotton Swab, Standard, White (Pack of 500)","Beauty & Personal Care,Tools & Accessories,Cotton Balls & Swabs,Cotton Swabs",https://www.amazon.com/SC-Johnson-623181-Cotton-Standard/dp/B07GPP3XC1/ref=sr_1_33?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-33,38,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASC+Johnson,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ASC+Johnson,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASC+Johnson><div>SC Johnson</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ASC+Johnson><div>SC Johnson</div></a>"
B0762LYFKP,B0762LYFKP,PRONAMEL,"Sensodyne Pronamel Gentle Teeth Whitening Enamel Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Alpine Breeze - 4 Ounces (Pack of 3)","Beauty & Personal Care,Oral Care,Teeth Whitening,Gels",https://www.amazon.com/Sensodyne-Pronamel-Whitening-Strengthening-Toothpaste/dp/B0762LYFKP/ref=sr_1_34?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-34,149,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APRONAMEL,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3APRONAMEL,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APRONAMEL><div>PRONAMEL</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3APRONAMEL><div>PRONAMEL</div></a>"
B07R6JZRS1,B07R6JZRS1,MARYTON,Foot Pumice Stone for Feet Hard Skin Callus Remover and Scrubber (Pack of 4) (Blue),"Beauty & Personal Care,Foot, Hand & Nail Care,Tools & Accessories,Foot Pumices",https://www.amazon.com/Pumice-Stone-Callus-Remover-Scrubber/dp/B07R6JZRS1/ref=sr_1_35?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-35,42,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMARYTON,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AMARYTON,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMARYTON><div>MARYTON</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AMARYTON><div>MARYTON</div></a>"
B00MEDOY2G,B00MEDOY2G,Dove,34 Oz,"Beauty & Personal Care,Skin Care,Body,Cleansers,Body Washes",https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=sr_1_36?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-36,51,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADove,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ADove,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADove><div>Dove</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ADove><div>Dove</div></a>"
B0012BNVE8,B0012BNVE8,Rogaine,"Men's Rogaine 5% Minoxidil Foam for Hair Loss and Hair Regrowth, Topical Treatment for Thinning Hair, 3-Month Supply (Pack of 3)","Beauty & Personal Care,Hair Care,Hair Loss Products,Hair Regrowth Treatments",https://www.amazon.com/Rogaine-Minoxidil-Regrowth-Treatment-Thinning/dp/B0012BNVE8/ref=sr_1_37?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-37,55,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ARogaine,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ARogaine,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ARogaine><div>Rogaine</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3ARogaine><div>Rogaine</div></a>"
B00DFSHD5O,B00DFSHD5O,GOODY,"Goody Ouchless Womens Elastic Thick Hair Tie - 27 Count, Black - 4MM for Medium Hair to Thick Hair - Hair Accessories for Women Perfect for Long Lasting Braids, Ponytails and More - Pain-Free","Beauty & Personal Care,Hair Care,Hair Accessories,Elastics & Ties",https://www.amazon.com/Goody-Ouchless-Womens-Braided-Elastic/dp/B00DFSHD5O/ref=sr_1_38?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-38,48,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGOODY,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AGOODY,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGOODY><div>GOODY</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AGOODY><div>GOODY</div></a>"
B00CC6XSSQ,B00CC6XSSQ,Colgate,"Colgate Extra Clean Toothbrush, Full Head, Soft - 6 Count","Beauty & Personal Care,Oral Care,Toothbrushes & Accessories,Manual Toothbrushes",https://www.amazon.com/Colgate-Extra-Clean-Toothbrush-Count/dp/B00CC6XSSQ/ref=sr_1_40?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-40,138,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AColgate,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AColgate,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AColgate><div>Colgate</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AColgate><div>Colgate</div></a>"
B0020VJTDG,B0020VJTDG,MRS. MEYER'S CLEAN DAY,"Basil Scent, 33 Oz","Beauty & Personal Care,Foot, Hand & Nail Care,Foot & Hand Care,Hand Wash",https://www.amazon.com/Mrs-Meyers-Liquid-Refill-Basil/dp/B0020VJTDG/ref=sr_1_42?dchild=1&amp;qid=1623665205&amp;s=beauty&amp;sr=1-42,60,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMRS.+MEYER'S+CLEAN+DAY,https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AMRS.+MEYER'S+CLEAN+DAY,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMRS.+MEYER'S+CLEAN+DAY><div>MRS. MEYER'S CLEAN DAY</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A52374051%2Cp_89%3AMRS.+MEYER'S+CLEAN+DAY><div>MRS. MEYER'S CLEAN DAY</div></a>"
