"ASIN","Brand","Title","Category","URL","SalesRank"
"B00CYBXH7G","Be Smart Get Prepared","Be Smart Get Prepared 100 Piece First Aid Kit: Clean, Treat, Protect Minor Cuts, Scrapes. Home, Office, Car, School, Business, Travel, Emergency, Survival, Hunting, Outdoor, Camping & Sports","Sports & Outdoors,Sports & Fitness,Sports Medicine,First Aid Kits","https://www.amazon.com/Be-Smart-Get-Prepared-Injuries/dp/B00CYBXH7G/ref=sr_1_70?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-70","886"
"B08ZJQCZJ4","MOIPEJO","Fathers Day Dad Men Gifts from Daughter Son Wife, LED Flashlight Gloves Gifts for Women, Boyfriend, Husband, Hands Free Lights for Camping Fishing Car Repairing, Cool Gadget for Men","Tools & Home Improvement,Safety & Security,Flashlights,Hands Free Flashlights & Headlamps,Hands Free Flashlights","https://www.amazon.com/Fathers-Daughter-Flashlight-Boyfriend-Repairing/dp/B08ZJQCZJ4/ref=sr_1_71?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-71","59"
"B004QF0TFQ","Dickies","Dickies Men's Multi-pack Dri-tech Moisture Control Crew Socks","Clothing, Shoes & Jewelry,Men,Clothing,Active,Athletic Socks","https://www.amazon.com/Dickies-Multi-Pack-Dri-Tech-Moisture-Control/dp/B004QF0TFQ/ref=sr_1_72?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-72","23"
"B00O869KJE","Amazon Basics","Amazon Basics 8 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack","Health & Household,Household Supplies,Household Batteries,AA","https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-8-Pack/dp/B00O869KJE/ref=sr_1_73?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-73","1"
"B075SCVY1F","Thermacell","Thermacell Radius Zone Mosquito Repellent 40-Hour Refill; Compatible With Rechargeable Thermacell Repellers; No Candle Flame, DEET-Free Mosquito Defense, Scent-Free, Bug Spray Alternative","Health & Household,Health Care,First Aid,Itching & Rash Treatments,Insect & Pest Repellents","https://www.amazon.com/Thermacell-Radius-Hours-Refill-Gray/dp/B075SCVY1F/ref=sr_1_74?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-74","939"
"B000UVTDLG","SABRE","SABRE RED Pepper Spray Keychain with Quick Release for Easy Access – Max Police Strength OC Spray, Finger Grip for Accurate Aim, 10-Foot (3M) Range","Sports & Outdoors,Sports & Fitness,Hunting & Fishing,Tactical & Personal Defense,Personal Defense Equipment,Pepper Spray","https://www.amazon.com/SABRE-Pepper-Spray-Quick-Release/dp/B000UVTDLG/ref=sr_1_75?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-75","25"
"B01DGIKD68","Little Tikes","Little Tikes 2 -in- 1 Snug 'n Secure Grow With Me Swing - Blue","Toys & Games,Sports & Outdoor Play,Play Sets & Playground Equipment,Play Set Attachments,Swings","https://www.amazon.com/Little-Tikes-Snug-Secure-Swing/dp/B01DGIKD68/ref=sr_1_76?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-76","58"
"B00K8ANYWS","GoSports","GoSports Pro Grade Ladder Toss Indoor/Outdoor Game Set with 6 Soft Rubber Bolo Balls, Travel Carrying Case","Sports & Outdoors,Sports & Fitness,Leisure Sports & Game Room,Outdoor Games & Activities,Toss Games,Ladder Ball","https://www.amazon.com/GoSports-Indoor-Outdoor-Carrying-Trackers/dp/B00K8ANYWS/ref=sr_1_77?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-77","200"
"B01EUQ7ZQG","Ascher","Ascher USB Rechargeable Bike Light Set,Super Bright Front Headlight and Rear LED Bicycle Light,650mah Lithium Battery,4 Light Mode Options(2 USB cables and 4 Strap Included)","Sports & Outdoors,Outdoor Recreation,Cycling,Accessories,Lights & Reflectors,Headlight-Taillight Combinations","https://www.amazon.com/Ascher-Rechargeable-Headlight-Resistant-Included/dp/B01EUQ7ZQG/ref=sr_1_78?dchild=1&amp;qid=1623799880&amp;s=sporting-goods&amp;sr=1-78","282"
"B0085OUN1O","BV","BV Bicycle Ergonomic Bike Floor Pump with Gauge & Smart Valve Head, 160 psi, Automatically Reversible Presta and Schrader","Sports & Outdoors,Outdoor Recreation,Cycling,Accessories,Bike Pumps,Floor Pumps","https://www.amazon.com/BV-Ergonomic-Automatically-Reversible-Schrader/dp/B0085OUN1O/ref=sr_1_100?dchild=1&amp;qid=1623799881&amp;s=sporting-goods&amp;sr=1-100","376"
